account_name,group_name,group_link,job_messages,total_messages,job_percentage,is_high_value,joined_date,analysis_timestamp
Account 1,HiTech_Jobs_In_Israel,https://t.me/HiTech_Jobs_In_Israel,15,100,15.0,Yes,2025-09-08,2025-09-08T18:08:22.195144
Account 1,linkedinremotejobs,https://t.me/linkedinremotejobs,14,100,14.0,Yes,2025-09-08,2025-09-08T18:08:22.195162
Account 1,Tech_Jobs_Ind,https://t.me/Tech_Jobs_Ind,13,100,13.0,Yes,2025-09-08,2025-09-08T18:08:22.195171
Account 1,dot_aware,https://t.me/dot_aware,13,100,13.0,Yes,2025-09-08,2025-09-08T18:08:22.195179
Account 1,TechJobsOccean,https://t.me/TechJobsOccean,12,100,12.0,Yes,2025-09-08,2025-09-08T18:08:22.195188
Account 1,nqeeddev,https://t.me/nqeeddev,12,100,12.0,Yes,2025-09-08,2025-09-08T18:08:22.195196
Account 1,devitjobs,https://t.me/devitjobs,11,100,11.0,Yes,2025-09-08,2025-09-08T18:08:22.195203
Account 1,hightechforolims,https://t.me/hightechforolims,10,100,10.0,Yes,2025-09-08,2025-09-08T18:08:22.195210
Account 1,fullremoteit,https://t.me/fullremoteit,7,100,7.0,No,2025-09-08,2025-09-08T18:08:22.195218
Account 1,it_outsource,https://t.me/it_outsource,6,100,6.0,No,2025-09-08,2025-09-08T18:08:22.195226
