group_id,group_name,group_link,job_messages,total_messages,job_percentage,joined_by_account,joined_date,category,priority,is_high_value,analysis_timestamp
Account 1_group_1,Akash the Developer – Telegram,https://telegram.me/s/akashthedeveloper?after=8846,11,100,11.0,Account 1,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384628
Account 1_group_2,"NodeFlair - Tech Salaries, Jobs & More",https://t.me/nodeflairsg,8,100,8.0,Account 1,2025-09-08,programming,high,No,2025-09-08T18:38:55.384666
Account 1_group_3,JOBS AND PLACEMENTS,https://telegram.me/jobs_in,9,100,9.0,Account 1,2025-09-08,programming,high,No,2025-09-08T18:38:55.384682
Account 1_group_4,DotAware: Off-Campus Tech Jobs ‍ - Telegram,https://t.me/s/dot_aware,20,100,20.0,Account 1,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384697
Account 1_group_5,Moto e⁵⁺ DEV,https://t.me/motoe5dev,13,100,13.0,Account 1,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384712
Account 1_group_6,Freshercareers.in - Telegram,https://t.me/s/freshercareersdotin?before=912,18,100,18.0,Account 1,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384752
Account 1_group_7,Salesforce Developers India - Telegram,https://t.me/s/salesforcedevsindia?q=%23SalesforceDevDays,13,100,13.0,Account 1,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384768
Account 1_group_8,BHARAT JOB ALERTS,https://t.me/bharat_job_alerts,10,100,10.0,Account 1,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384782
Account 1_group_9,Data Structures and Algorithms - Telegram,https://t.me/s/datastructuresandalgoofficial,19,100,19.0,Account 1,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384794
Account 1_group_10,Flutter India 🇮🇳,https://t.me/flutterindia,7,100,7.0,Account 1,2025-09-08,programming,high,No,2025-09-08T18:38:55.384809
Account 2_group_1,CS Algo 『Competitive Programming』 - Telegram,https://t.me/s/cs_algo?after=16571,20,100,20.0,Account 2,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384827
Account 2_group_3,Blockchain Developers,https://t.me/Blockchain_Developers,5,100,5.0,Account 2,2025-09-08,programming,high,No,2025-09-08T18:38:55.384842
Account 2_group_4,Telegram: Contact @Vishal_Mods,https://t.me/Vishal_Mods,5,100,5.0,Account 2,2025-09-08,programming,high,No,2025-09-08T18:38:55.384855
Account 2_group_5,Push Protocol India 🔔💬🇮🇳,https://t.me/+fKTSsxAtzfE2Mzdl,9,100,9.0,Account 2,2025-09-08,programming,high,No,2025-09-08T18:38:55.384886
Account 2_group_7,Python Programing,https://t.me/lovefoprpythonprograming,17,100,17.0,Account 2,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384900
Account 2_group_8,સરકારી નોકરી-શૈક્ષણિક માહિતી,https://telegram.me/s/kamalkingjob?before=6650,8,100,8.0,Account 2,2025-09-08,programming,high,No,2025-09-08T18:38:55.384912
Account 2_group_9,Thanos Phoenix OS (TOS),https://t.me/s/thanosphd3,9,100,9.0,Account 2,2025-09-08,programming,high,No,2025-09-08T18:38:55.384926
Account 2_group_10,HowProgrammingWorks - JavaScript and Node.js Programming,https://t.me/HowProgrammingWorks,19,100,19.0,Account 2,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384939
Account 3_group_1,Technical Jobs - Telegram,https://t.me/s/be_electrical_jobs?before=1453,17,100,17.0,Account 3,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384955
Account 3_group_2,Krishan Kumar - Jobs & Internships Updates - Telegram,https://telegram.me/s/jobs_and_internships_updates?after=6194,9,100,9.0,Account 3,2025-09-08,programming,high,No,2025-09-08T18:38:55.384969
Account 3_group_3,Akash the Developer - Telegram,https://telegram.me/s/akashthedeveloper?after=7389,20,100,20.0,Account 3,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.384985
Account 3_group_4,Learn programming with CodeChef - Telegram,https://t.me/s/learncpwithcodechef?before=221,4,100,4.0,Account 3,2025-09-08,programming,high,No,2025-09-08T18:38:55.385001
Account 3_group_5,Functional Programming India (FPIndia),https://t.me/fpncr,8,100,8.0,Account 3,2025-09-08,programming,high,No,2025-09-08T18:38:55.385014
Account 3_group_6,IT Referral Jobs - Telegram,https://t.me/s/ITReferral_Jobs?q=%23hyderabad,12,100,12.0,Account 3,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.385028
Account 3_group_7,Savitribai Phule Pune University,https://t.me/sppuofficial,15,100,15.0,Account 3,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.385043
Account 3_group_9,Indian Jobs | Vacancies in India | Jobs in Punjab | Jobs in Haryana,https://t.me/s/RajanChaudhary/11855?q=%23Roles,5,100,5.0,Account 3,2025-09-08,programming,high,No,2025-09-08T18:38:55.385057
Account 3_group_10,Web development,https://t.me/HareKrishna1008/4435,17,100,17.0,Account 3,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.385073
Account 4_group_1,Jobs | Internships | Placement | Interviews - Telegram,https://t.me/s/getjobss?before=2724,18,100,18.0,Account 4,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.385087
Account 4_group_2,RAM RAI CS,https://t.me/ramraics,15,100,15.0,Account 4,2025-09-08,programming,medium,Yes,2025-09-08T18:38:55.385101
Account 4_group_3,Free Job Alert,https://t.me/FreeJobAlertOfficially,12,100,12.0,Account 4,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.385113
Account 4_group_4,Saturday 5/11 Programming Lightning Workshop,https://t.me/ProgrammingLightning,9,100,9.0,Account 4,2025-09-08,programming,high,No,2025-09-08T18:38:55.385137
Account 4_group_5,Programming with Pylenin,https://t.me/pythonwithpylenin,4,100,4.0,Account 4,2025-09-08,programming,high,No,2025-09-08T18:38:55.385152
Account 4_group_6,Learn Code With Durgesh - Telegram,https://t.me/s/learncodewithdurgesh?before=2510,11,100,11.0,Account 4,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.385167
Account 4_group_7,Coding Jobs Channel KE,https://t.me/coding_jobs_ke,17,100,17.0,Account 4,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.385181
Account 4_group_8,"React jobs, empl - NotificaJobs 📬 (react.js, JavaScript)",https://t.me/notificaJobs_react,5,100,5.0,Account 4,2025-09-08,programming,high,No,2025-09-08T18:38:55.385196
Account 4_group_9,Data Science Community,https://telegram.me/s/lizefly?before=435,14,100,14.0,Account 4,2025-09-08,programming,high,Yes,2025-09-08T18:38:55.385216
Account 4_group_10,Jobs Internships Wale 🚀,https://telegram.me/s/jobsinternshipswale?after=2929,5,100,5.0,Account 4,2025-09-08,programming,high,No,2025-09-08T18:38:55.385230
