rank,channel_name,channel_link,job_messages,total_messages,job_percentage,last_activity,joined_by_account
1,daily_jobupdates,https://t.me/daily_jobupdates,76,100,76.0,2025-09-05T04:00:38+00:00,Account 2
2,dot_aware,https://t.me/dot_aware,66,100,66.0,2025-09-04T11:11:25+00:00,Unknown
3,TechJobsOccean,https://t.me/TechJobsOccean,65,100,65.0,2025-09-04T14:14:18+00:00,Unknown
4,hightechforolims,https://t.me/hightechforolims,40,100,40.0,2025-08-31T15:53:25+00:00,Unknown
5,it_outsource,https://t.me/it_outsource,38,100,38.0,2025-09-04T16:43:27+00:00,Unknown
6,DevOpsBuddys,https://t.me/DevOpsBuddys,31,79,39.24,2025-08-29T13:05:14+00:00,Account 2
7,viet688_highpaid_IT_jobs,https://t.me/viet688_highpaid_IT_jobs,24,98,24.49,2025-08-29T09:22:54+00:00,Account 2
8,remote_jobs_today,https://t.me/remote_jobs_today,23,76,30.26,2025-04-06T07:34:01+00:00,Account 3
9,forfrontend,https://t.me/forfrontend,15,100,15.0,2025-09-05T08:00:04+00:00,Account 2
10,placementducatindia,https://t.me/placementducatindia,14,79,17.72,2025-09-05T07:59:03+00:00,Account 2
11,fresherearth,https://t.me/fresherearth,13,50,26.0,2025-09-05T08:09:26+00:00,Account 2
12,forpython,https://t.me/forpython,11,100,11.0,2025-09-04T14:00:04+00:00,Account 2
13,remotejobscol,https://t.me/remotejobscol,10,96,10.42,2025-09-05T02:48:41+00:00,Account 2
