group_id,group_name,group_link,job_messages,total_messages,job_percentage,joined_by_account,joined_date,category,priority,analysis_timestamp
Account 1_group_1,Akash the Developer – Telegram,https://telegram.me/s/akashthedeveloper?after=8846,11,100,11.0,Account 1,2025-09-08,programming,high,2025-09-08T18:38:55.386054
Account 1_group_4,DotAware: Off-Campus Tech Jobs ‍ - Telegram,https://t.me/s/dot_aware,20,100,20.0,Account 1,2025-09-08,programming,high,2025-09-08T18:38:55.386117
Account 1_group_5,Moto e⁵⁺ DEV,https://t.me/motoe5dev,13,100,13.0,Account 1,2025-09-08,programming,high,2025-09-08T18:38:55.386163
Account 1_group_6,Freshercareers.in - Telegram,https://t.me/s/freshercareersdotin?before=912,18,100,18.0,Account 1,2025-09-08,programming,high,2025-09-08T18:38:55.386191
Account 1_group_7,Salesforce Developers India - Telegram,https://t.me/s/salesforcedevsindia?q=%23SalesforceDevDays,13,100,13.0,Account 1,2025-09-08,programming,high,2025-09-08T18:38:55.386211
Account 1_group_8,BHARAT JOB ALERTS,https://t.me/bharat_job_alerts,10,100,10.0,Account 1,2025-09-08,programming,high,2025-09-08T18:38:55.386231
Account 1_group_9,Data Structures and Algorithms - Telegram,https://t.me/s/datastructuresandalgoofficial,19,100,19.0,Account 1,2025-09-08,programming,high,2025-09-08T18:38:55.386250
Account 2_group_1,CS Algo 『Competitive Programming』 - Telegram,https://t.me/s/cs_algo?after=16571,20,100,20.0,Account 2,2025-09-08,programming,high,2025-09-08T18:38:55.386269
Account 2_group_7,Python Programing,https://t.me/lovefoprpythonprograming,17,100,17.0,Account 2,2025-09-08,programming,high,2025-09-08T18:38:55.386293
Account 2_group_10,HowProgrammingWorks - JavaScript and Node.js Programming,https://t.me/HowProgrammingWorks,19,100,19.0,Account 2,2025-09-08,programming,high,2025-09-08T18:38:55.386312
Account 3_group_1,Technical Jobs - Telegram,https://t.me/s/be_electrical_jobs?before=1453,17,100,17.0,Account 3,2025-09-08,programming,high,2025-09-08T18:38:55.386332
Account 3_group_3,Akash the Developer - Telegram,https://telegram.me/s/akashthedeveloper?after=7389,20,100,20.0,Account 3,2025-09-08,programming,high,2025-09-08T18:38:55.386352
Account 3_group_6,IT Referral Jobs - Telegram,https://t.me/s/ITReferral_Jobs?q=%23hyderabad,12,100,12.0,Account 3,2025-09-08,programming,high,2025-09-08T18:38:55.386372
Account 3_group_7,Savitribai Phule Pune University,https://t.me/sppuofficial,15,100,15.0,Account 3,2025-09-08,programming,high,2025-09-08T18:38:55.386391
Account 3_group_10,Web development,https://t.me/HareKrishna1008/4435,17,100,17.0,Account 3,2025-09-08,programming,high,2025-09-08T18:38:55.386410
Account 4_group_1,Jobs | Internships | Placement | Interviews - Telegram,https://t.me/s/getjobss?before=2724,18,100,18.0,Account 4,2025-09-08,programming,high,2025-09-08T18:38:55.386429
Account 4_group_2,RAM RAI CS,https://t.me/ramraics,15,100,15.0,Account 4,2025-09-08,programming,medium,2025-09-08T18:38:55.386488
Account 4_group_3,Free Job Alert,https://t.me/FreeJobAlertOfficially,12,100,12.0,Account 4,2025-09-08,programming,high,2025-09-08T18:38:55.386508
Account 4_group_6,Learn Code With Durgesh - Telegram,https://t.me/s/learncodewithdurgesh?before=2510,11,100,11.0,Account 4,2025-09-08,programming,high,2025-09-08T18:38:55.386534
Account 4_group_7,Coding Jobs Channel KE,https://t.me/coding_jobs_ke,17,100,17.0,Account 4,2025-09-08,programming,high,2025-09-08T18:38:55.386557
Account 4_group_9,Data Science Community,https://telegram.me/s/lizefly?before=435,14,100,14.0,Account 4,2025-09-08,programming,high,2025-09-08T18:38:55.386581
