group_name,group_link,job_messages,total_messages,job_percentage,joined_by_account,analysis_timestamp
Python Jobs India,https://t.me/pythonjobsindia,15,100,15.0,Account 1,2025-09-08T16:22:03.324097
Full Stack Jobs,https://t.me/fullstackjobs,12,100,12.0,Account 1,2025-09-08T16:22:03.324119
Data Science Jobs,https://t.me/datasciencejobs,18,100,18.0,Account 1,2025-09-08T16:22:03.324124
AI ML Jobs,https://t.me/aimljobs,14,100,14.0,Account 1,2025-09-08T16:22:03.324128
Web Development,https://t.me/webdevjobs,11,100,11.0,Account 1,2025-09-08T16:22:03.324132
Java Developers India,https://t.me/javadevsindia,16,100,16.0,Account 2,2025-09-08T16:22:03.324137
Node.js Developers,https://t.me/nodejsdevs,13,100,13.0,Account 2,2025-09-08T16:22:03.324141
E-commerce Jobs,https://t.me/ecommercejobs,10,100,10.0,Account 2,2025-09-08T16:22:03.324145
Go Developers,https://t.me/godevelopers,11,100,11.0,Account 3,2025-09-08T16:22:03.324150
Flutter Developers,https://t.me/flutterdevelopers,12,100,12.0,Account 3,2025-09-08T16:22:03.324154
React Native Jobs,https://t.me/reactnativejobs,14,100,14.0,Account 3,2025-09-08T16:22:03.324158
Machine Learning Jobs,https://t.me/mljobs,17,100,17.0,Account 4,2025-09-08T16:22:03.324163
Deep Learning Jobs,https://t.me/deeplearningjobs,13,100,13.0,Account 4,2025-09-08T16:22:03.324166
NLP Jobs,https://t.me/nlpjobs,10,100,10.0,Account 4,2025-09-08T16:22:03.324171
Data Engineering,https://t.me/dataengineeringjobs,15,100,15.0,Account 4,2025-09-08T16:22:03.324175
Cloud Computing,https://t.me/cloudcomputingjobs,11,100,11.0,Account 4,2025-09-08T16:22:03.324179
AWS Jobs India,https://t.me/awsjobsindia,16,100,16.0,Account 4,2025-09-08T16:22:03.324183
