group_id,group_name,group_link,job_messages,total_messages,job_percentage,joined_by_account,joined_date,analysis_timestamp
Account 1_group_2,E-commerce Jobs India,https://t.me/ecommercejobsindia,13,100,13.0,Account 1,2025-09-08,2025-09-08T17:04:14.156866
Account 1_group_3,Blockchain Jobs India,https://t.me/blockchainjobsindia,17,100,17.0,Account 1,2025-09-08,2025-09-08T17:04:14.157005
Account 1_group_7,C# Jobs India,https://t.me/csharpjobsindia,20,100,20.0,Account 1,2025-09-08,2025-09-08T17:04:14.157089
Account 1_group_8,Mobile App Jobs India,https://t.me/mobileappjobsindia,12,100,12.0,Account 1,2025-09-08,2025-09-08T17:04:14.157154
Account 1_group_9,Rust Jobs India,https://t.me/rustjobsindia,14,100,14.0,Account 1,2025-09-08,2025-09-08T17:04:14.157218
Account 1_group_10,Cloud Computing Jobs India,https://t.me/cloudcomputingjobsindia,10,100,10.0,Account 1,2025-09-08,2025-09-08T17:04:14.157277
Account 2_group_4,Python Jobs India,https://t.me/pythonjobsindia,17,100,17.0,Account 2,2025-09-08,2025-09-08T17:04:14.157338
Account 2_group_7,Content Writing Jobs India,https://t.me/contentwritingjobsindia,14,100,14.0,Account 2,2025-09-08,2025-09-08T17:04:14.157399
Account 2_group_8,C++ Jobs India,https://t.me/cppjobsindia,18,100,18.0,Account 2,2025-09-08,2025-09-08T17:04:14.157464
Account 3_group_4,Data Science Jobs India,https://t.me/datasciencejobsindia,13,100,13.0,Account 3,2025-09-08,2025-09-08T17:04:14.157532
Account 3_group_6,React Native Jobs India,https://t.me/reactnativejobsindia,20,100,20.0,Account 3,2025-09-08,2025-09-08T17:04:14.157604
Account 3_group_7,Cybersecurity Jobs India,https://t.me/cybersecurityjobsindia,15,100,15.0,Account 3,2025-09-08,2025-09-08T17:04:14.157690
Account 3_group_9,Digital Marketing Jobs India,https://t.me/digitalmarketingjobsindia,15,100,15.0,Account 3,2025-09-08,2025-09-08T17:04:14.157767
Account 4_group_3,Node.js Jobs India,https://t.me/nodejsjobsindia,20,100,20.0,Account 4,2025-09-08,2025-09-08T17:04:14.157840
Account 4_group_4,GCP Jobs India,https://t.me/gcpjobsindia,16,100,16.0,Account 4,2025-09-08,2025-09-08T17:04:14.157908
Account 4_group_5,Azure Jobs India,https://t.me/azurejobsindia,12,100,12.0,Account 4,2025-09-08,2025-09-08T17:04:14.157976
Account 4_group_6,PHP Jobs India,https://t.me/phpjobsindia,17,100,17.0,Account 4,2025-09-08,2025-09-08T17:04:14.158044
Account 4_group_8,Laravel Jobs India,https://t.me/laraveljobsindia,20,100,20.0,Account 4,2025-09-08,2025-09-08T17:04:14.158112
Account 4_group_10,React Jobs India,https://t.me/reactjobsindia,13,100,13.0,Account 4,2025-09-08,2025-09-08T17:04:14.158311
